STATE/UT,YEAR,Pending Investigation From Previous Year,Cases Regd. During Year,Total Cases For Investigation,Cases Investigated,Cases Not Investigated Or Investigation Dropped,Cases Declared False Etc. During Year,Cases Charge Sheeted,Cases Pending For Prosecution,Cases Sent Up For Trial And Also Reported For Dept. Action,Cases Reported For Regular Departmental Action,Cases Reported For Suitable Action,Cases In Which Final Report Submitted,Cases Pending Investigation At The end Of Year,Cases Resulted In Recovery Or Seizure,Value Of Property Recovered / Seized (In Rupees),Cases Pending Trial From The Previous Year,Cases Sent Up For Trial During The Year,Total Cases For Trial,Cases Withdrawn/Discharged Or Other Wise Disposed Of,Trials Completed During The Year,Cases Convicted,Cases Acquitted Or Discharged,Pending Trial At The End Of The Year,Total Amt. Of Fine Imposed During The Year (In Rupees)
Chandigarh,2002,11,3,14,14,0,0,4,0,0,0,0,0,10,0,0,12,4,16,0,3,1,2,13,0
Chandigarh,2003,10,6,16,16,0,0,3,0,0,0,0,0,13,0,0,13,3,16,0,1,0,1,15,0
Chandigarh,2004,13,5,18,18,2,0,1,0,0,0,0,0,15,0,0,15,1,16,0,1,0,1,15,0
Chandigarh,2005,15,7,22,22,0,0,4,0,0,0,0,0,18,0,0,15,4,19,0,1,0,1,18,0
Chandigarh,2006,18,13,31,31,1,0,8,0,0,0,0,0,23,0,0,18,8,26,0,2,0,2,24,0
Chandigarh,2007,23,8,31,31,1,1,9,0,0,0,0,0,26,0,0,24,9,33,0,8,3,5,25,0
Chandigarh,2008,26,11,37,37,0,0,8,0,0,0,0,0,29,0,0,25,8,33,0,4,3,1,29,0
Chandigarh,2009,29,8,37,2,0,16,2,0,0,0,2,17,17,0,0,30,16,46,0,9,4,5,37,0
Chandigarh,2010,17,3,20,20,0,0,5,4,0,0,0,2,14,1,44200,37,5,42,0,9,6,3,33,0
Chandigarh,2011,14,7,21,21,0,0,4,3,4,0,0,1,16,2,25000,33,4,37,0,3,2,1,34,0
Chandigarh,2012,16,10,26,26,0,0,6,4,6,0,0,0,20,2,12000,34,6,40,0,6,3,3,34,0
D&N Haveli,2001,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,1,0,1,3,0
D&N Haveli,2002,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,4,0,2,0,2,2,0
D&N Haveli,2003,0,1,1,1,0,0,1,0,0,0,0,0,0,1,25000,2,1,3,1,0,0,0,2,0
D&N Haveli,2004,0,1,1,1,0,0,0,0,0,0,0,0,1,1,10500,2,0,2,0,0,0,0,2,0
D&N Haveli,2005,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,3,0
D&N Haveli,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,2,2000
D&N Haveli,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
D&N Haveli,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
D&N Haveli,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
D&N Haveli,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0
D&N Haveli,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
D&N Haveli,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
Daman & Diu,2001,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,2,1,3,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,3,0,3,3,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,2,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
Daman & Diu,2005,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,2,0
Daman & Diu,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
Daman & Diu,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
Daman & Diu,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0
Daman & Diu,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
Daman & Diu,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0
Daman & Diu,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,2001,111,70,181,181,0,4,89,9,44,74,0,4,84,58,116044,311,89,400,1,61,4,57,338,2000
Delhi UT,2002,84,56,140,58,1,1,53,12,20,74,0,5,81,44,173906,338,53,391,2,41,12,29,348,87200
Delhi UT,2003,81,77,158,46,0,0,46,10,17,43,0,0,112,41,75342,348,46,394,3,31,8,23,360,80000
Delhi UT,2004,112,62,174,30,0,0,30,19,14,40,0,3,144,43,127555,360,30,390,3,40,18,22,347,123000
Delhi UT,2005,144,61,205,53,2,1,50,21,17,64,0,3,155,46,156524,347,50,397,5,42,18,24,350,198500
Delhi UT,2006,155,82,237,83,1,0,82,25,43,88,0,1,152,55,1019200,350,82,432,5,38,29,9,389,491000
Delhi UT,2007,152,51,203,60,13,0,47,21,24,40,0,13,145,34,94900,389,47,436,0,65,38,27,371,644500
Delhi UT,2008,145,45,190,76,30,0,46,23,13,33,0,30,124,13,114500,371,46,417,3,66,51,15,348,463000
Delhi UT,2009,124,45,169,25,4,0,21,14,3,21,0,4,154,23,120400,348,21,369,1,63,44,19,305,6150000
Delhi UT,2010,154,39,193,17,6,0,11,22,5,24,0,6,176,17,130000,305,11,316,2,91,53,38,223,1217000
Delhi UT,2011,176,12,188,23,10,0,12,27,1,7,0,10,177,7,61100,223,12,235,2,112,79,33,121,1430000
Delhi UT,2012,177,21,198,27,2,0,25,17,4,0,0,2,175,9,284000,121,25,146,1,66,38,28,79,2369000
Lakshadweep,2001,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,3,0
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,1,1,0,2,3000
Lakshadweep,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2008,2,0,2,2,0,0,2,0,2,0,0,2,0,0,0,3,2,5,0,0,0,0,5,0
Lakshadweep,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2010,0,5,5,5,0,0,0,2,3,0,0,2,3,0,0,4,0,4,0,1,0,1,3,0
Lakshadweep,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2012,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2001,6,3,9,9,0,0,2,0,0,0,0,0,7,0,0,5,2,7,0,0,0,0,7,0
Puducherry,2002,7,3,10,10,0,0,1,1,0,0,0,0,9,0,0,7,1,8,0,3,0,3,5,0
Puducherry,2003,9,1,10,10,0,0,1,1,0,0,0,0,9,0,0,5,1,6,0,1,0,1,5,0
Puducherry,2004,9,1,10,10,0,0,2,0,0,0,0,0,9,0,0,5,2,7,0,1,0,1,6,0
Puducherry,2005,8,3,11,11,1,1,5,0,0,0,0,1,5,0,0,6,5,11,0,0,0,0,11,0
Puducherry,2006,4,4,8,8,1,1,3,5,3,0,0,1,2,1,0,11,3,14,0,6,3,3,8,3000
Puducherry,2007,3,6,9,9,0,0,0,0,0,0,0,0,9,0,0,8,0,8,0,1,1,0,7,55000
Puducherry,2008,9,5,14,14,1,0,8,0,0,0,0,0,5,0,0,7,8,15,0,0,0,0,15,0
Puducherry,2009,18,4,22,22,0,0,1,2,0,0,0,0,21,0,0,26,1,27,1,1,0,1,25,0
Puducherry,2010,21,3,24,24,0,0,2,3,0,0,0,0,22,0,0,25,2,27,1,2,1,1,24,0
Puducherry,2011,22,4,26,26,0,0,5,3,5,0,0,0,18,0,0,24,5,29,0,3,2,1,26,10000
Puducherry,2012,18,3,21,21,0,0,1,3,1,0,0,0,20,0,0,26,1,27,0,1,0,1,26,0

